City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
241,Shenjiamen,29.9576,122.298,56.7,62,0,7.11,clear sky
242,Arequipa,-16.3989,-71.535,59.07,44,90,2.3,heavy intensity rain
243,Leningradskiy,69.3833,178.4167,-2.27,98,100,19.13,light snow
244,Jeremie,18.65,-74.1167,78.24,78,23,0.83,few clouds
245,Manjo,4.8428,9.8217,71.38,95,100,2.17,overcast clouds
246,Andros Town,24.7,-77.7667,75.16,76,0,13.49,clear sky
247,Nanortalik,60.1432,-45.2371,26.51,67,100,31.27,light snow
248,Catalao,-18.1658,-47.9464,69.24,82,68,4.47,broken clouds
249,Bull Savanna,17.8868,-77.5902,75.4,84,0,9.13,clear sky
250,Hit,33.6416,42.8251,53.01,43,0,10.2,clear sky
251,Alice Springs,-23.7,133.8833,85.55,32,0,10.36,clear sky
252,Baykit,61.67,96.37,-11.94,96,100,3.18,overcast clouds
253,Shubarshi,48.5872,57.1869,30.45,75,100,7.81,overcast clouds
254,Castro,-24.7911,-50.0119,63.09,88,96,2.13,overcast clouds
255,Mae Sai,20.4335,99.8762,58.44,74,34,1.21,scattered clouds
256,Mechanicsville,37.6088,-77.3733,53.28,62,90,3.44,overcast clouds
257,Asosa,10.0667,34.5333,64.45,37,4,4.59,clear sky
258,Half Moon Bay,37.4636,-122.4286,59.61,85,1,6.91,mist
259,Luneburg,53.25,10.4,34.66,95,100,6.04,overcast clouds
260,Podgornoye,51.735,39.1496,21.42,93,0,4.47,clear sky
261,Cabo San Lucas,22.8909,-109.9124,77.5,62,75,5.75,broken clouds
262,Kirakira,-10.4544,161.9205,80.13,89,95,16.24,overcast clouds
263,Coahuayana,18.7333,-103.6833,83.68,89,100,2.06,overcast clouds
264,Waingapu,-9.6567,120.2641,83.98,68,99,4.29,moderate rain
265,Dawlatabad,36.4141,64.9053,45.82,69,0,5.21,clear sky
266,Ancud,-41.8697,-73.8203,63.43,78,0,3.69,clear sky
267,Pringsewu,-5.3582,104.9744,76.57,90,99,1.95,overcast clouds
268,Kiama,-34.6833,150.8667,73.38,64,100,5.01,overcast clouds
269,Shingu,33.7333,135.9833,58.19,82,100,1.81,overcast clouds
270,Santa Ines,-3.6667,-45.38,76.59,85,96,1.05,overcast clouds
271,Vrable,48.2437,18.3085,36.52,100,100,3.4,light snow
272,Port Lincoln,-34.7333,135.8667,67.89,53,100,2.64,overcast clouds
273,Geraldton,-28.7667,114.6,86.41,25,0,19.57,clear sky
274,Hasaki,35.7333,140.8333,50.4,60,100,12.21,overcast clouds
275,Dickinson,29.4608,-95.0513,75.47,92,90,3.0,mist
276,Aswan,24.0934,32.907,58.3,44,0,9.22,clear sky
277,Talnakh,69.4865,88.3972,-16.8,99,100,13.65,snow
