City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
360,Yucaipa,US,66.74,clear sky,34.0336,-117.0431,Yucaipa Regional Park
366,Basco,PH,75.52,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
367,Inirida,CO,73.9,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
369,Cayenne,GF,78.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
370,Shadegan,IR,61.41,scattered clouds,30.6497,48.6647,مسافر خانه ابو ولید
372,Abu Dhabi,AE,70.97,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
375,Bonfim,BR,79.02,overcast clouds,3.0833,-59.95,
376,Port Hueneme,US,67.23,mist,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
378,Palm Coast,US,69.08,overcast clouds,29.585,-81.2078,Hammock Beach Golf Resort & Spa
381,Antofagasta,CL,62.58,overcast clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
382,Neuquen,AR,73.29,clear sky,-38.9516,-68.0591,Hotel del Comahue
383,Along,IN,69.08,overcast clouds,28.1667,94.7667,Hotel West
388,Vao,NC,76.5,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
391,Buala,SB,78.4,light rain,-8.145,159.5921,Maringe Lagoon Lodge
394,Port-Gentil,GA,79.12,light rain,-0.7193,8.7815,Fengshui Residence
395,Illela,NG,68.49,clear sky,13.7292,5.2975,
398,Marawi,PH,73.65,broken clouds,7.9986,124.2928,Derogongan Residence
401,Santa Cruz,BO,78.26,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
402,Meiktila,MM,74.16,clear sky,20.8667,95.8667,The Floral Breeze Wunzin Hotel
404,Mwingi,KE,62.31,broken clouds,-0.9344,38.0601,Thorn Tree by The Address
407,Manutuke,NZ,67.98,overcast clouds,-38.6833,177.9167,Jolly Stockman Hotel
408,Baracoa,CU,77.68,broken clouds,20.3467,-74.4958,Hostal Rio Miel
410,Maua,BR,69.37,overcast clouds,-23.6678,-46.4614,Hotel Capriccio Mauá
416,Latehar,IN,70.56,scattered clouds,23.75,84.5,Hotel Raj
418,Quang Ngai,VN,67.86,overcast clouds,15.1167,108.8,Central Hotel
420,Sao Felix Do Xingu,BR,70.45,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
421,Harper,LR,79.21,light rain,4.375,-7.7169,Screensaver
427,Porto Velho,BR,77.05,moderate rain,-8.7619,-63.9039,Hotel Central
428,Poplar Bluff,US,67.78,broken clouds,36.757,-90.3929,Holiday Inn Poplar Bluff
430,Dakar,SN,70.68,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
